employee_id,week_index,week_start,org_unit_id,cargo_id,target_min,planned_min,under_min,contract_min,cap_week_min,desired_workdays,base_off,aus_days,worked_days,off_days,days_no_work_option,max_possible_est_min,max_day_min,reason,detail
12345678-9,0,2026-02-23,UO_PRUEBA,ADMINISTRADOR DE TIENDA,2640,2640,0,2640,2640,6,1,0,6,1,0,3240,540,OK,
12345678-9,1,2026-03-02,UO_PRUEBA,ADMINISTRADOR DE TIENDA,2640,2640,0,2640,2640,6,1,0,6,1,0,3240,540,OK,
12345678-9,2,2026-03-09,UO_PRUEBA,ADMINISTRADOR DE TIENDA,2640,2640,0,2640,2640,6,1,0,5,2,0,3240,540,OK,
12345678-9,3,2026-03-16,UO_PRUEBA,ADMINISTRADOR DE TIENDA,2640,2640,0,2640,2640,6,1,0,6,1,0,3240,540,OK,
12345678-9,4,2026-03-23,UO_PRUEBA,ADMINISTRADOR DE TIENDA,2640,2640,0,2640,2640,6,1,0,6,1,0,3240,540,OK,
175268458-9,0,2026-02-23,UO_PRUEBA,OPERADOR,960,960,0,960,960,2,5,0,2,5,5,1080,540,OK,
175268458-9,1,2026-03-02,UO_PRUEBA,OPERADOR,960,960,0,960,960,2,5,0,2,5,5,1080,540,OK,
175268458-9,2,2026-03-09,UO_PRUEBA,OPERADOR,960,960,0,960,960,2,5,0,2,5,5,1080,540,OK,
175268458-9,3,2026-03-16,UO_PRUEBA,OPERADOR,960,960,0,960,960,2,5,0,2,5,5,1080,540,OK,
175268458-9,4,2026-03-23,UO_PRUEBA,OPERADOR,960,960,0,960,960,2,5,0,2,5,5,1080,540,OK,
17654321-9,0,2026-02-23,UO_PRUEBA,OPERADOR,1440,1440,0,1440,1440,4,3,0,4,3,2,2160,540,OK,
17654321-9,1,2026-03-02,UO_PRUEBA,OPERADOR,1440,1440,0,1440,1440,4,3,0,4,3,2,2160,540,OK,
17654321-9,2,2026-03-09,UO_PRUEBA,OPERADOR,1440,1440,0,1440,1440,4,3,0,4,3,2,2160,540,OK,
17654321-9,3,2026-03-16,UO_PRUEBA,OPERADOR,1440,1440,0,1440,1440,4,3,0,4,3,2,2160,540,OK,
17654321-9,4,2026-03-23,UO_PRUEBA,OPERADOR,1440,1440,0,1440,1440,4,3,0,4,3,2,2160,540,OK,
21456789-1,0,2026-02-23,UO_PRUEBA,OPERADOR,1440,1440,0,1440,1440,4,3,0,4,3,2,2160,540,OK,
21456789-1,1,2026-03-02,UO_PRUEBA,OPERADOR,1440,1440,0,1440,1440,4,3,0,4,3,2,2160,540,OK,
21456789-1,2,2026-03-09,UO_PRUEBA,OPERADOR,1440,1440,0,1440,1440,4,3,0,4,3,2,2160,540,OK,
21456789-1,3,2026-03-16,UO_PRUEBA,OPERADOR,1440,1440,0,1440,1440,4,3,0,4,3,2,2160,540,OK,
21456789-1,4,2026-03-23,UO_PRUEBA,OPERADOR,1440,1440,0,1440,1440,4,3,0,4,3,2,2160,540,OK,
24567890-1,0,2026-02-23,UO_PRUEBA,OPERADOR,2640,2640,0,2640,2640,6,1,0,6,1,0,3240,540,OK,
24567890-1,1,2026-03-02,UO_PRUEBA,OPERADOR,2640,2640,0,2640,2640,6,1,0,6,1,0,3240,540,OK,
24567890-1,2,2026-03-09,UO_PRUEBA,OPERADOR,2640,2640,0,2640,2640,6,1,0,6,1,0,3240,540,OK,
24567890-1,3,2026-03-16,UO_PRUEBA,OPERADOR,2640,2640,0,2640,2640,6,1,0,5,2,0,3240,540,OK,
24567890-1,4,2026-03-23,UO_PRUEBA,OPERADOR,2640,2640,0,2640,2640,6,1,0,6,1,0,3240,540,OK,
25123845-8,0,2026-02-23,UO_PRUEBA,OPERADOR,960,960,0,960,960,2,5,0,2,5,5,1080,540,OK,
25123845-8,1,2026-03-02,UO_PRUEBA,OPERADOR,960,960,0,960,960,2,5,0,2,5,5,1080,540,OK,
25123845-8,2,2026-03-09,UO_PRUEBA,OPERADOR,960,960,0,960,960,2,5,0,2,5,5,1080,540,OK,
25123845-8,3,2026-03-16,UO_PRUEBA,OPERADOR,960,960,0,960,960,2,5,0,2,5,5,1080,540,OK,
25123845-8,4,2026-03-23,UO_PRUEBA,OPERADOR,960,960,0,960,960,2,5,0,2,5,5,1080,540,OK,
9876543-1,0,2026-02-23,UO_PRUEBA,ADMINISTRADOR DE TIENDA JR,2640,2640,0,2640,2640,6,1,0,6,1,0,3240,540,OK,
9876543-1,1,2026-03-02,UO_PRUEBA,ADMINISTRADOR DE TIENDA JR,2640,2640,0,2640,2640,6,1,0,6,1,0,3240,540,OK,
9876543-1,2,2026-03-09,UO_PRUEBA,ADMINISTRADOR DE TIENDA JR,2640,2640,0,2640,2640,6,1,0,6,1,0,3240,540,OK,
9876543-1,3,2026-03-16,UO_PRUEBA,ADMINISTRADOR DE TIENDA JR,2640,2640,0,2640,2640,6,1,0,6,1,0,3240,540,OK,
9876543-1,4,2026-03-23,UO_PRUEBA,ADMINISTRADOR DE TIENDA JR,2640,2640,0,2640,2640,6,1,0,6,1,0,3240,540,OK,
